기준월,법정동명,일평균유동인구,시간대
2,금탄동,166.94,주간
2,구암동,7416.68,새벽
2,구암동,34762.17,주간
2,원촌동,6799.37,저녁
2,둔곡동,21.07,새벽
2,둔곡동,705.8,주간
2,용계동,2095.21,저녁
2,봉명동,15135.98,출근
2,도룡동,2351.58,새벽
2,도룡동,21257.56,주간
2,대동,8.21,저녁
2,구룡동,103.99,퇴근
2,송정동,163.26,출근
2,방동,317.27,출근
2,복용동,2455.19,출근
2,죽동,4233.77,저녁
2,신성동,10208.0,퇴근
2,안산동,52.09,출근
2,관평동,10290.54,새벽
2,관평동,64158.09,주간
2,신동,1.3,저녁
2,덕명동,16374.95,저녁
2,신성동,8068.46,새벽
2,신성동,40058.32,주간
2,봉산동,5256.36,퇴근
2,관평동,7395.77,출근
2,송강동,14316.76,퇴근
2,금고동,4.52,저녁
2,금탄동,23.71,퇴근
2,계산동,1847.22,출근
2,지족동,8270.33,출근
2,자운동,81.28,새벽
2,자운동,2788.76,주간
2,전민동,17232.61,퇴근
2,관평동,24756.31,저녁
2,가정동,2261.04,퇴근
2,자운동,635.47,저녁
2,용산동,2512.45,새벽
2,용산동,21011.73,주간
2,송강동,7019.53,출근
2,금탄동,16.12,출근
2,문지동,3539.97,퇴근
3,교촌동,461.62,출근
3,대정동,7345.25,저녁
3,송정동,565.35,저녁
3,방동,303.12,새벽
3,복용동,9531.31,저녁
3,장동,4997.74,출근
3,안산동,93.42,저녁
3,외삼동,236.41,새벽
3,봉명동,122636.54,주간
3,원신흥동,59213.35,주간
3,어은동,23993.89,저녁
3,화암동,427.68,출근
3,수남동,3086.3,주간
3,방동,540.27,퇴근
3,신성동,22957.0,저녁
3,구성동,2316.35,출근
3,도룡동,2980.41,새벽
3,방현동,385.94,출근
3,덕진동,1827.57,출근
3,추목동,3748.21,저녁
3,문지동,3146.52,출근
3,탑립동,2955.01,출근
3,세동,19.29,저녁
3,장대동,92658.09,저녁
3,어은동,14258.47,퇴근
3,화암동,5093.44,주간
3,세동,22.55,출근
3,장대동,27108.69,출근
3,갑동,490.44,퇴근
3,어은동,69896.43,주간
3,구성동,3108.95,새벽
3,덕진동,1129.19,새벽
3,문지동,3244.24,새벽
3,탑립동,267.88,새벽
3,교촌동,1019.16,퇴근
3,구암동,39692.04,주간
3,장동,5036.26,퇴근
3,죽동,2262.57,새벽
3,자운동,435.65,새벽
3,용산동,25073.7,주간
3,송강동,8192.72,출근
3,금탄동,19.97,출근
3,둔곡동,845.63,주간
3,봉명동,34841.8,퇴근
3,원신흥동,15029.28,퇴근
3,화암동,154.42,저녁
3,추목동,3215.27,출근
3,수남동,199.83,퇴근
3,대정동,2535.08,출근
3,송정동,203.72,출근
3,덕명동,12206.3,퇴근
3,복용동,3101.33,출근
3,죽동,5044.7,저녁
3,자운동,1149.44,저녁
3,안산동,76.53,출근
3,학하동,14867.27,주간
3,성북동,1713.98,주간
3,어은동,17214.41,새벽
3,도룡동,5121.65,퇴근
3,반석동,70097.19,주간
3,대동,10.81,퇴근
3,구룡동,202.31,출근
3,원내동,15424.27,새벽
3,방동,827.1,저녁
3,송강동,50820.71,주간
3,금탄동,177.07,주간
3,갑동,239.3,새벽
3,도룡동,27091.69,주간
3,대동,58.24,주간
3,덕명동,12702.72,새벽
3,궁동,86804.74,주간
3,용산동,3676.55,출근
3,송강동,15966.79,퇴근
3,금탄동,24.93,퇴근
3,둔곡동,172.62,출근
3,원내동,35499.0,저녁
3,대정동,17105.16,주간
3,송정동,1770.64,주간
3,덕명동,6995.24,출근
3,복용동,19773.19,주간
3,지족동,15454.76,새벽
3,죽동,3044.51,퇴근
3,자운동,922.09,퇴근
3,안산동,475.97,주간
3,봉산동,5497.12,새벽
3,세동,258.64,주간
3,장대동,185597.21,주간
3,갑동,269.79,출근
3,외삼동,828.28,저녁
3,용계동,3653.34,저녁
3,갑동,2733.94,주간
3,방현동,215.61,저녁
3,추목동,1922.68,새벽
3,외삼동,457.12,퇴근
3,구암동,9884.49,퇴근
3,상대동,7911.6,출근
3,노은동,6790.16,출근
3,지족동,80973.13,주간
3,가정동,2299.87,출근
3,하기동,4593.84,출근
3,전민동,10006.8,출근
3,봉산동,21042.11,주간
3,송강동,14572.65,새벽
3,금고동,157.42,출근
3,금탄동,10.58,새벽
3,구암동,18355.6,저녁
3,상대동,12088.9,퇴근
3,노은동,11568.16,퇴근
3,지족동,10334.47,출근
3,가정동,2706.27,퇴근
3,하기동,7398.72,퇴근
3,전민동,19646.46,퇴근
3,용산동,2915.41,새벽
3,금고동,17.14,퇴근
3,둔곡동,28.14,새벽
3,학하동,2591.98,새벽
3,성북동,329.72,새벽
3,구성동,5040.79,저녁
3,덕진동,2717.02,저녁
3,반석동,12362.88,새벽
3,문지동,6761.64,저녁
3,탑립동,1228.43,저녁
3,세동,29.0,퇴근
3,장대동,48958.52,퇴근
3,갑동,895.11,저녁
3,어은동,8508.64,출근
3,방동,368.73,출근
3,신성동,12474.34,퇴근
3,원촌동,3124.43,새벽
3,관평동,12124.3,새벽
3,세동,5.04,새벽
3,장대동,44273.84,새벽
3,도룡동,3695.07,출근
3,대동,1.5,출근
3,구룡동,1461.39,주간
3,계산동,4179.97,새벽
3,방동,2862.55,주간
3,노은동,10069.11,새벽
3,지족동,38752.24,저녁
3,신성동,7185.12,출근
3,신봉동,3482.0,새벽
3,봉산동,11393.63,저녁
3,용계동,12606.44,주간
3,학하동,2011.64,출근
3,성북동,245.2,출근
3,도룡동,8870.68,저녁
3,방현동,3407.01,주간
3,반석동,9066.32,출근
3,대동,10.49,저녁
3,구룡동,120.22,퇴근
3,봉명동,17907.78,출근
3,원신흥동,9256.78,출근
3,화암동,287.54,퇴근
3,추목동,20178.89,주간
3,수남동,272.69,출근
3,구성동,4101.89,퇴근
3,덕진동,1840.36,퇴근
3,문지동,4059.74,퇴근
3,탑립동,2436.0,퇴근
3,구룡동,13.31,새벽
3,용계동,2102.88,퇴근
3,학하동,6353.53,저녁
3,성북동,858.56,저녁
3,봉명동,40187.7,새벽
3,원신흥동,17094.92,새벽
3,방현동,310.04,퇴근
3,수남동,36.81,새벽
3,외삼동,267.44,출근
3,반석동,38334.48,저녁
3,원내동,69979.29,주간
3,계산동,8332.64,저녁
3,노은동,22249.74,저녁
3,신봉동,5998.98,저녁
3,원촌동,4616.03,퇴근
3,봉산동,3266.06,출근
3,관평동,18036.47,퇴근
3,신동,32.77,퇴근
3,용계동,3572.53,새벽
3,방현동,106.77,새벽
3,상대동,25256.5,저녁
3,지족동,21849.46,퇴근
3,궁동,25821.24,새벽
3,신성동,50918.6,주간
3,가정동,2950.56,저녁
3,하기동,15477.12,저녁
3,전민동,35748.46,저녁
3,봉산동,5841.33,퇴근
3,금고동,5.94,저녁
3,원내동,9824.04,출근
3,구암동,8510.68,새벽
3,죽동,16213.34,주간
3,자운동,4361.81,주간
3,원촌동,7398.14,저녁
3,관평동,29100.64,저녁
3,신동,1.25,저녁
3,봉명동,64767.9,저녁
3,원신흥동,29770.02,저녁
3,구성동,29682.3,주간
3,덕진동,16147.65,주간
3,추목동,2702.11,퇴근
3,수남동,244.3,저녁
3,문지동,24536.03,주간
3,탑립동,25061.19,주간
3,교촌동,4143.33,주간
3,대정동,4148.02,퇴근
3,송정동,424.97,퇴근
3,덕명동,21780.44,저녁
3,복용동,4663.62,퇴근
3,신성동,11241.43,새벽
3,장동,46032.96,주간
3,안산동,63.65,퇴근
3,대정동,4133.18,새벽
3,계산동,15401.41,주간
3,송정동,309.3,새벽
3,복용동,5184.84,새벽
3,노은동,46148.22,주간
3,궁동,10784.12,출근
3,신봉동,13079.06,주간
3,안산동,16.63,새벽
3,용산동,4190.85,퇴근
3,송강동,34016.46,저녁
3,금탄동,24.21,저녁
3,둔곡동,22.61,퇴근
3,용계동,1665.63,출근
3,학하동,3307.3,퇴근
3,성북동,429.66,퇴근
3,화암동,78.13,새벽
3,외삼동,2138.27,주간
3,반석동,20378.03,퇴근
3,구룡동,31.81,저녁
3,계산동,2389.28,출근
3,궁동,21688.91,퇴근
3,신봉동,1975.87,출근
3,원촌동,24968.77,주간
3,용산동,6539.7,저녁
3,관평동,74995.72,주간
3,신동,754.33,주간
3,둔곡동,17.75,저녁
3,원내동,18646.84,퇴근
3,덕명동,60481.45,주간
3,상대동,14608.42,새벽
3,죽동,1875.89,출근
3,가정동,1308.37,새벽
3,하기동,7640.33,새벽
3,자운동,517.89,출근
3,전민동,13633.12,새벽
3,금고동,93.05,새벽
3,교촌동,1826.01,저녁
3,구암동,5554.4,출근
3,상대동,44383.81,주간
3,가정동,24688.54,주간
3,장동,5819.82,저녁
3,하기동,29301.49,주간
3,전민동,78684.0,주간
3,금고동,618.76,주간
3,교촌동,577.42,새벽
3,계산동,4134.12,퇴근
3,궁동,37677.23,저녁
3,장동,4419.65,새벽
3,신봉동,3097.39,퇴근
3,원촌동,2797.45,출근
3,관평동,9258.77,출근
3,신동,71.25,출근
4,용계동,2623.16,새벽
4,방현동,492.11,새벽
4,원내동,35556.39,저녁
4,대정동,17991.87,주간
4,송정동,2030.53,주간
4,덕명동,6444.09,출근
4,복용동,19837.25,주간
4,지족동,16291.49,새벽
